product_smiles,reactant_smiles,rxn_smiles,reactant_iupac,product_iupac
Ic1cccc(-c2cccnc2)c1,CCB(CC)c1cccnc1.Ic1cccc(I)c1,[CH2:9]([B:10]([CH2:11][CH3:18])[c:12]1[cH:13][n:14][cH:15][cH:16][cH:17]1)[CH3:19].[I:1][c:2]1[cH:3][c:4]([I:8])[cH:5][cH:6][cH:7]1>>[c:2]1(-[c:12]2[cH:13][n:14][cH:15][cH:16][cH:17]2)[cH:3][c:4]([I:8])[cH:5][cH:6][cH:7]1,"diethyl(pyridin-3-yl)borane|1,3-diiodobenzene",3-(3-iodophenyl)pyridine
O=C(O)CCCSc1ncc(CC(=O)O)s1,COC(=O)CCCSc1ncc(CC(=O)O)s1,[CH3:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][CH2:7][S:8][c:9]1[s:10][c:11]([CH2:14][C:15](=[O:16])[OH:17])[cH:12][n:13]1>>[O:2]=[C:3]([OH:4])[CH2:5][CH2:6][CH2:7][S:8][c:9]1[s:10][c:11]([CH2:14][C:15](=[O:16])[OH:17])[cH:12][n:13]1,"2-[2-(4-methoxy-4-oxobutyl)sulfanyl-1,3-thiazol-5-yl]acetic acid","4-[[5-(carboxymethyl)-1,3-thiazol-2-yl]sulfanyl]butanoic acid"
CC(C[N+](=O)[O-])c1ccccc1,CC(=C[N+](=O)[O-])c1ccccc1,[N+:8](=[O:9])([O-:10])[CH:11]=[C:12]([CH3:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[N+:8](=[O:9])([O-:10])[CH2:11][CH:12]([CH3:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,1-nitroprop-1-en-2-ylbenzene,1-nitropropan-2-ylbenzene
Nc1ncccc1C(F)(F)F,FC(F)(F)c1cccnc1Cl.N,[Cl:1][c:2]1[n:3][cH:4][cH:5][cH:6][c:7]1[C:8]([F:9])([F:10])[F:11].[NH3:12]>>[c:2]1([NH2:12])[n:3][cH:4][cH:5][cH:6][c:7]1[C:8]([F:9])([F:10])[F:11],2-chloro-3-(trifluoromethyl)pyridine|azane,3-(trifluoromethyl)pyridin-2-amine
OCC1ON=C(c2ccncc2O)C1CO,COCOc1cnccc1C1=NOC(CO)C1CO,[OH:1][CH2:2][CH:3]1[C:4]([c:10]2[c:11]([O:16][CH2:17][O:18][CH3:19])[cH:12][n:13][cH:14][cH:15]2)=[N:5][O:6][CH:7]1[CH2:8][OH:9]>>[OH:1][CH2:2][CH:3]1[C:4]([c:10]2[c:11]([OH:16])[cH:12][n:13][cH:14][cH:15]2)=[N:5][O:6][CH:7]1[CH2:8][OH:9],"[5-(hydroxymethyl)-3-[3-(methoxymethoxy)pyridin-4-yl]-4,5-dihydro-1,2-oxazol-4-yl]methanol","4-[4,5-bis(hydroxymethyl)-4,5-dihydro-1,2-oxazol-3-yl]pyridin-3-ol"
N#Cc1c(N)cccc1F,N#Cc1c(F)cccc1F.N,[F:1][c:2]1[c:3]([C:4]#[N:5])[c:6]([F:10])[cH:7][cH:8][cH:9]1.[NH3:11]>>[F:1][c:2]1[c:3]([C:4]#[N:5])[c:6]([NH2:11])[cH:7][cH:8][cH:9]1,"2,6-difluorobenzonitrile|azane",2-amino-6-fluorobenzonitrile
C=C(C)C1CCC(C)=C1CC(C)(C)CO,C=C(C)C1CCC(C)=C1CC(C)(C)C=O,[CH3:1][C:2]1=[C:3]([CH2:10][C:11]([CH:12]=[O:13])([CH3:14])[CH3:15])[CH:4]([C:7](=[CH2:8])[CH3:9])[CH2:5][CH2:6]1>>[CH3:1][C:2]1=[C:3]([CH2:10][C:11]([CH2:12][OH:13])([CH3:14])[CH3:15])[CH:4]([C:7](=[CH2:8])[CH3:9])[CH2:5][CH2:6]1,"2,2-dimethyl-3-(2-methyl-5-prop-1-en-2-ylcyclopenten-1-yl)propanal","2,2-dimethyl-3-(2-methyl-5-prop-1-en-2-ylcyclopenten-1-yl)propan-1-ol"
Cc1ccc(C(=O)c2cccc(Cl)c2)c(Cl)n1,Clc1cccc(Br)c1.Cc1ccc(C(=O)O)c(Cl)n1,[Br:2][c:3]1[cH:4][c:5]([Cl:9])[cH:6][cH:7][cH:8]1.[Cl:10][c:11]1[c:12]([C:13](=[O:14])[OH:15])[cH:16][cH:17][c:18]([CH3:20])[n:19]1>>[c:3]1([C:13]([c:12]2[c:11]([Cl:10])[n:19][c:18]([CH3:20])[cH:17][cH:16]2)=[O:14])[cH:4][c:5]([Cl:9])[cH:6][cH:7][cH:8]1,1-bromo-3-chlorobenzene|2-chloro-6-methylpyridine-3-carboxylic acid,(2-chloro-6-methylpyridin-3-yl)-(3-chlorophenyl)methanone
Clc1ncc2[nH]ncc2n1,CC(=O)n1ncc2nc(Cl)ncc21,[Cl:1][c:2]1[n:3][cH:4][c:5]2[c:6]([n:7]1)[cH:8][n:9][n:10]2[C:11](=[O:12])[CH3:13]>>[Cl:1][c:2]1[n:3][cH:4][c:5]2[c:6]([n:7]1)[cH:8][n:9][nH:10]2,"1-(5-chloropyrazolo[4,3-d]pyrimidin-1-yl)ethanone","5-chloro-1H-pyrazolo[4,3-d]pyrimidine"
CCC(=CSc1ccccc1)C(=O)O,CCC(=CSc1ccccc1)C(=O)OC,[CH2:1]([CH3:2])[C:3]([C:4](=[O:5])[O:6][CH3:7])=[CH:8][S:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[CH2:1]([CH3:2])[C:3]([C:4](=[O:5])[OH:6])=[CH:8][S:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1,methyl 2-(phenylsulfanylmethylidene)butanoate,2-(phenylsulfanylmethylidene)butanoic acid
CCOC(=O)c1cc(=O)c(-c2ccccc2O)co1,CCOC(=O)c1cc(=O)c(-c2ccccc2OC)co1,[CH3:5][O:6][c:7]1[c:8](-[c:13]2[c:14](=[O:24])[cH:15][c:16]([C:19](=[O:20])[O:21][CH2:22][CH3:23])[o:17][cH:18]2)[cH:9][cH:10][cH:11][cH:12]1>>[OH:6][c:7]1[c:8](-[c:13]2[c:14](=[O:24])[cH:15][c:16]([C:19](=[O:20])[O:21][CH2:22][CH3:23])[o:17][cH:18]2)[cH:9][cH:10][cH:11][cH:12]1,ethyl 5-(2-methoxyphenyl)-4-oxopyran-2-carboxylate,ethyl 5-(2-hydroxyphenyl)-4-oxopyran-2-carboxylate
CC(=O)Nc1ccccc1,CC(=O)O.O=C=Nc1ccccc1,[CH3:10][C:11](=[O:12])[OH:13].[O:1]=[C:2]=[N:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>>[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[CH3:10],acetic acid|isocyanatobenzene,N-phenylacetamide
CC1(C)CN(C2CC2)Cc2ccc(C=C(Br)Br)cc21,BrC(Br)(Br)Br.CC1(C)CN(C2CC2)Cc2ccc(C=O)cc21,[C:20]([Br:21])([Br:22])([Br:23])[Br:24].[CH:25]1([N:28]2[CH2:29][c:30]3[cH:31][cH:32][c:33]([CH:40]=[O:41])[cH:34][c:35]3[C:36]([CH3:38])([CH3:39])[CH2:37]2)[CH2:26][CH2:27]1>>[C:20]([Br:21])([Br:24])=[CH:40][c:33]1[cH:32][cH:31][c:30]2[c:35]([cH:34]1)[C:36]([CH3:38])([CH3:39])[CH2:37][N:28]([CH:25]1[CH2:26][CH2:27]1)[CH2:29]2,"tetrabromomethane|2-cyclopropyl-4,4-dimethyl-1,3-dihydroisoquinoline-6-carbaldehyde","2-cyclopropyl-6-(2,2-dibromoethenyl)-4,4-dimethyl-1,3-dihydroisoquinoline"
CC1CC(=O)CC1C(=O)O,COC(=O)C1CC(=O)CC1C,[CH3:1][CH:2]1[CH:3]([C:8](=[O:9])[O:10][CH3:11])[CH2:4][C:5](=[O:7])[CH2:6]1>>[CH3:1][CH:2]1[CH:3]([C:8](=[O:9])[OH:10])[CH2:4][C:5](=[O:7])[CH2:6]1,methyl 2-methyl-4-oxocyclopentane-1-carboxylate,2-methyl-4-oxocyclopentane-1-carboxylic acid
Nc1ccc(SCc2cnc3ccccn23)cc1,O=[N+]([O-])c1ccc(SCc2cnc3ccccn23)cc1,[N+:1]([O-:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([S:10][CH2:11][c:12]2[cH:13][n:14][c:15]3[n:16]2[cH:17][cH:18][cH:19][cH:20]3)[cH:8][cH:9]1>>[NH2:1][c:4]1[cH:5][cH:6][c:7]([S:10][CH2:11][c:12]2[cH:13][n:14][c:15]3[n:16]2[cH:17][cH:18][cH:19][cH:20]3)[cH:8][cH:9]1,"3-[(4-nitrophenyl)sulfanylmethyl]imidazo[1,2-a]pyridine","4-(imidazo[1,2-a]pyridin-3-ylmethylsulfanyl)aniline"
CCOC(=N)C(C)(C)O,CC(C)(O)C#N.CCOCC,[CH3:1][C:2]([C:3]#[N:4])([OH:5])[CH3:6].[CH3:7][CH2:8][O:9][CH2:10][CH3:11]>>[CH3:1][C:2]([C:3](=[NH:4])[O:9][CH2:8][CH3:7])([OH:5])[CH3:6],2-hydroxy-2-methylpropanenitrile|ethoxyethane,ethyl 2-hydroxy-2-methylpropanimidate
CONS(=O)(=O)c1ccccc1Cl,O=S(=O)(Cl)c1ccccc1Cl.CON,[Cl:5][c:6]1[c:7]([S:12](=[O:13])(=[O:14])[Cl:15])[cH:8][cH:9][cH:10][cH:11]1.[O:2]([CH3:3])[NH2:4]>>[O:2]([CH3:3])[NH:4][S:12]([c:7]1[c:6]([Cl:5])[cH:11][cH:10][cH:9][cH:8]1)(=[O:13])=[O:14],2-chlorobenzenesulfonyl chloride|O-methylhydroxylamine,2-chloro-N-methoxybenzenesulfonamide
O=C(O)C1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,O=S(=O)(Cl)c1cc(Cl)cc(Cl)c1.O=C(O)C1CCCN1,[Cl:18][c:19]1[cH:20][c:21]([S:26](=[O:27])(=[O:28])[Cl:29])[cH:22][c:23]([Cl:25])[cH:24]1.[NH:1]1[CH:2]([C:3](=[O:4])[OH:5])[CH2:6][CH2:7][CH2:8]1>>[N:1]1([S:26]([c:21]2[cH:20][c:19]([Cl:18])[cH:24][c:23]([Cl:25])[cH:22]2)(=[O:27])=[O:28])[CH:2]([C:3](=[O:4])[OH:5])[CH2:6][CH2:7][CH2:8]1,"3,5-dichlorobenzenesulfonyl chloride|pyrrolidine-2-carboxylic acid","1-(3,5-dichlorophenyl)sulfonylpyrrolidine-2-carboxylic acid"
C=CCCOCCc1ccccc1,OCCCCOCCc1ccccc1,[c:1]1([CH2:7][CH2:8][O:9][CH2:10][CH2:11][CH2:12][CH2:13][OH:14])[cH:2][cH:3][cH:4][cH:5][cH:6]1>>[c:1]1([CH2:7][CH2:8][O:9][CH2:10][CH2:11][CH:12]=[CH2:13])[cH:2][cH:3][cH:4][cH:5][cH:6]1,4-(2-phenylethoxy)butan-1-ol,2-but-3-enoxyethylbenzene
Cc1cc(C)cc(Oc2nc(Cl)nc(Cl)c2C(C)C)c1,Cc1cc(C)cc(O)c1.CC(C)c1c(Cl)nc(Cl)nc1Cl,[CH3:13][c:14]1[cH:15][c:16]([CH3:17])[cH:18][c:19]([OH:20])[cH:21]1.[CH:1]([CH3:2])([CH3:3])[c:4]1[c:5]([Cl:12])[n:6][c:7]([Cl:11])[n:8][c:9]1[Cl:10]>>[CH:1]([CH3:2])([CH3:3])[c:4]1[c:5]([Cl:12])[n:6][c:7]([Cl:11])[n:8][c:9]1[O:20][c:19]1[cH:18][c:16]([CH3:17])[cH:15][c:14]([CH3:13])[cH:21]1,"3,5-dimethylphenol|2,4,6-trichloro-5-propan-2-ylpyrimidine","2,4-dichloro-6-(3,5-dimethylphenoxy)-5-propan-2-ylpyrimidine"
C=CCOc1cnc(SC)nc1,C=CCBr.CSc1ncc(O)cn1,[CH2:16]([CH:17]=[CH2:18])[Br:19].[OH:1][c:2]1[cH:3][n:4][c:5]([S:8][CH3:9])[n:6][cH:7]1>>[O:1]([c:2]1[cH:3][n:4][c:5]([S:8][CH3:9])[n:6][cH:7]1)[CH2:18][CH:17]=[CH2:16],3-bromoprop-1-ene|2-methylsulfanylpyrimidin-5-ol,2-methylsulfanyl-5-prop-2-enoxypyrimidine
c1cc2cc(C3CCOCC3)ccc2o1,OC1(c2ccc3occc3c2)CCOCC1,[o:1]1[cH:2][cH:3][c:4]2[c:5]1[cH:6][cH:7][c:8]([C:10]1([OH:16])[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1)[cH:9]2>>[o:1]1[cH:2][cH:3][c:4]2[c:5]1[cH:6][cH:7][c:8]([CH:10]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1)[cH:9]2,4-(1-benzofuran-5-yl)oxan-4-ol,5-(oxan-4-yl)-1-benzofuran
c1ccc(C(c2ccccc2)C2CNCCO2)cc1,c1ccc(C(c2ccccc2)C2CO2)cc1.NCCOS(=O)(=O)O,[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH:14]1[O:15][CH2:16]1.[S:17]([O:18][CH2:22][CH2:23][NH2:24])([OH:19])(=[O:20])=[O:21]>>[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH:14]1[O:15][CH2:22][CH2:23][NH:24][CH2:16]1,2-benzhydryloxirane|2-aminoethyl hydrogen sulfate,2-benzhydrylmorpholine
CCOC(=O)C(=CNc1ccc[nH]c1=O)C(=O)OCC,CCOC=C(C(=O)OCC)C(=O)OCC.Nc1ccc[nH]c1=O,[CH2:9]([O:10][CH:12]=[C:13]([C:14](=[O:15])[O:16][CH2:17][CH3:18])[C:19](=[O:20])[O:21][CH2:22][CH3:23])[CH3:11].[NH2:1][c:2]1[c:3](=[O:8])[nH:4][cH:5][cH:6][cH:7]1>>[NH:1]([c:2]1[c:3](=[O:8])[nH:4][cH:5][cH:6][cH:7]1)[CH:12]=[C:13]([C:14](=[O:15])[O:16][CH2:17][CH3:18])[C:19](=[O:20])[O:21][CH2:22][CH3:23],diethyl 2-(ethoxymethylidene)propanedioate|3-amino-1H-pyridin-2-one,diethyl 2-[[(2-oxo-1H-pyridin-3-yl)amino]methylidene]propanedioate
Cc1cc(Br)ccc1NC(=O)C1(C(=O)O)CC1,CCOC(=O)C1(C(=O)Nc2ccc(Br)cc2C)CC1,[Br:30][c:31]1[cH:32][c:33]([CH3:48])[c:34]([NH:37][C:38](=[O:39])[C:40]2([C:43](=[O:44])[O:45][CH2:46][CH3:47])[CH2:41][CH2:42]2)[cH:35][cH:36]1>>[Br:30][c:31]1[cH:32][c:33]([CH3:48])[c:34]([NH:37][C:38](=[O:39])[C:40]2([C:43](=[O:44])[OH:45])[CH2:41][CH2:42]2)[cH:35][cH:36]1,ethyl 1-[(4-bromo-2-methylphenyl)carbamoyl]cyclopropane-1-carboxylate,1-[(4-bromo-2-methylphenyl)carbamoyl]cyclopropane-1-carboxylic acid
O=C(O)CCCc1cccc(Cl)c1,O=C(O)CCC(=O)c1cccc(Cl)c1,[Cl:3][c:4]1[cH:5][c:6]([C:7](=[O:8])[CH2:9][CH2:10][C:11](=[O:12])[OH:13])[cH:14][cH:15][cH:16]1>>[Cl:3][c:4]1[cH:5][c:6]([CH2:7][CH2:9][CH2:10][C:11](=[O:12])[OH:13])[cH:14][cH:15][cH:16]1,4-(3-chlorophenyl)-4-oxobutanoic acid,4-(3-chlorophenyl)butanoic acid
O=Cc1cccc(OCCN2CCCC2)c1,ClCCN1CCCC1.O=Cc1cccc(O)c1,[Cl:17][CH2:18][CH2:19][N:20]1[CH2:21][CH2:22][CH2:23][CH2:24]1.[OH:1][c:2]1[cH:3][c:4]([CH:5]=[O:6])[cH:7][cH:8][cH:9]1>>[O:1]([c:2]1[cH:3][c:4]([CH:5]=[O:6])[cH:7][cH:8][cH:9]1)[CH2:18][CH2:19][N:20]1[CH2:21][CH2:22][CH2:23][CH2:24]1,1-(2-chloroethyl)pyrrolidine|3-hydroxybenzaldehyde,3-(2-pyrrolidin-1-ylethoxy)benzaldehyde
CC(C)CCCC(C)CCCC(C)CO,CC(C)CCCC(C)CCCC(C)C=O,[CH3:8][CH:9]([CH:10]=[O:11])[CH2:12][CH2:13][CH2:14][CH:15]([CH2:16][CH2:17][CH2:18][CH:19]([CH3:20])[CH3:21])[CH3:22]>>[CH3:8][CH:9]([CH2:10][OH:11])[CH2:12][CH2:13][CH2:14][CH:15]([CH2:16][CH2:17][CH2:18][CH:19]([CH3:20])[CH3:21])[CH3:22],"2,6,10-trimethylundecanal","2,6,10-trimethylundecan-1-ol"
C#CCCn1ccnc1,C#CCCOS(=O)(=O)c1ccc(C)cc1.c1c[nH]cn1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6]([O:7][CH2:12][CH2:13][C:14]#[CH:15])(=[O:8])=[O:9])[cH:10][cH:11]1.[nH:16]1[cH:17][n:18][cH:19][cH:20]1>>[CH2:12]([CH2:13][C:14]#[CH:15])[n:16]1[cH:17][n:18][cH:19][cH:20]1,but-3-ynyl 4-methylbenzenesulfonate|1H-imidazole,1-but-3-ynylimidazole
Clc1cc(Oc2c(Cl)cccc2Cl)ccn1,O=[N+]([O-])c1ccnc(Cl)c1.Oc1c(Cl)cccc1Cl,[Cl:12][c:13]1[n:14][cH:15][cH:16][c:17]([N+:19]([O-:20])=[O:21])[cH:18]1.[OH:1][c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9]>>[O:1]([c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9])[c:17]1[cH:16][cH:15][n:14][c:13]([Cl:12])[cH:18]1,"2-chloro-4-nitropyridine|2,6-dichlorophenol","2-chloro-4-(2,6-dichlorophenoxy)pyridine"
Cc1cccc(NCC(C)O)c1C,Cc1cccc(N)c1C.CC1CO1,[CH3:1][c:2]1[c:3]([NH2:4])[cH:5][cH:6][cH:7][c:8]1[CH3:9].[O:10]1[CH2:11][CH:12]1[CH3:13]>>[CH3:1][c:2]1[c:3]([NH:4][CH2:11][CH:12]([OH:10])[CH3:13])[cH:5][cH:6][cH:7][c:8]1[CH3:9],"2,3-dimethylaniline|2-methyloxirane","1-(2,3-dimethylanilino)propan-2-ol"
COC(=O)c1ccc(OCC2CCCCC2)cc1,BrCC1CCCCC1.COC(=O)c1ccc(O)cc1,[CH:12]1([CH2:18][Br:19])[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[OH:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH3:9])[cH:10][cH:11]1>>[O:1]([c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH3:9])[cH:10][cH:11]1)[CH2:18][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1,bromomethylcyclohexane|methyl 4-hydroxybenzoate,methyl 4-(cyclohexylmethoxy)benzoate
O=[N+]([O-])c1ccc(F)cc1-c1ccc(Cl)cc1Cl,O=[N+]([O-])c1ccc(F)cc1Br.OB(O)c1ccc(Cl)cc1Cl,[Br:1][c:2]1[c:3]([N+:9](=[O:10])[O-:11])[cH:4][cH:5][c:6]([F:8])[cH:7]1.[Cl:12][c:13]1[c:14]([B:20]([OH:21])[OH:22])[cH:15][cH:16][c:17]([Cl:19])[cH:18]1>>[c:2]1(-[c:14]2[c:13]([Cl:12])[cH:18][c:17]([Cl:19])[cH:16][cH:15]2)[c:3]([N+:9](=[O:10])[O-:11])[cH:4][cH:5][c:6]([F:8])[cH:7]1,"2-bromo-4-fluoro-1-nitrobenzene|(2,4-dichlorophenyl)boronic acid","2-(2,4-dichlorophenyl)-4-fluoro-1-nitrobenzene"
CC(C)Oc1ccc(Br)cc1,Oc1ccc(Br)cc1.CC(C)I,[Br:1][c:2]1[cH:3][cH:4][c:5]([OH:8])[cH:6][cH:7]1.[I:15][CH:16]([CH3:17])[CH3:18]>>[Br:1][c:2]1[cH:3][cH:4][c:5]([O:8][CH:16]([CH3:17])[CH3:18])[cH:6][cH:7]1,4-bromophenol|2-iodopropane,1-bromo-4-propan-2-yloxybenzene
NCc1cc(Cl)ccc1-c1nsnc1Cl,[N-]=[N+]=NCc1cc(Cl)ccc1-c1nsnc1Cl,[N:1](=[N+:2]=[N-:3])[CH2:4][c:5]1[c:6](-[c:12]2[n:13][s:14][n:15][c:16]2[Cl:17])[cH:7][cH:8][c:9]([Cl:11])[cH:10]1>>[NH2:1][CH2:4][c:5]1[c:6](-[c:12]2[n:13][s:14][n:15][c:16]2[Cl:17])[cH:7][cH:8][c:9]([Cl:11])[cH:10]1,"3-[2-(azidomethyl)-4-chlorophenyl]-4-chloro-1,2,5-thiadiazole","[5-chloro-2-(4-chloro-1,2,5-thiadiazol-3-yl)phenyl]methanamine"
O=C(ON1C(=O)CCC1=O)c1ccc(Br)cc1Cl,O=C(O)c1ccc(Br)cc1Cl.O=C1CCC(=O)N1O,[Br:1][c:2]1[cH:3][c:4]([Cl:11])[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10]1.[OH:12][N:13]1[C:14](=[O:19])[CH2:15][CH2:16][C:17]1=[O:18]>>[Br:1][c:2]1[cH:3][c:4]([Cl:11])[c:5]([C:6](=[O:7])[O:8][N:13]2[C:14](=[O:19])[CH2:15][CH2:16][C:17]2=[O:18])[cH:9][cH:10]1,"4-bromo-2-chlorobenzoic acid|1-hydroxypyrrolidine-2,5-dione","(2,5-dioxopyrrolidin-1-yl) 4-bromo-2-chlorobenzoate"
C=CC(=O)Nc1ccc2cc(C(=O)O)ccc2c1,C=CC(=O)Cl.Nc1ccc2cc(C(=O)O)ccc2c1,[C:15]([CH:16]=[CH2:17])(=[O:18])[Cl:19].[NH2:1][c:2]1[cH:3][c:4]2[cH:5][cH:6][c:7]([C:12](=[O:13])[OH:14])[cH:8][c:9]2[cH:10][cH:11]1>>[NH:1]([c:2]1[cH:3][c:4]2[cH:5][cH:6][c:7]([C:12](=[O:13])[OH:14])[cH:8][c:9]2[cH:10][cH:11]1)[C:15]([CH:16]=[CH2:17])=[O:18],prop-2-enoyl chloride|6-aminonaphthalene-2-carboxylic acid,6-(prop-2-enoylamino)naphthalene-2-carboxylic acid
COc1cc(C(=O)Nc2ccccc2O)ccc1C,COc1cc(C(=O)O)ccc1C.Nc1ccccc1O,[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10][c:11]1[CH3:12].[NH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][c:23]1[OH:24]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6](=[O:8])[NH:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2[OH:24])[cH:9][cH:10][c:11]1[CH3:12],3-methoxy-4-methylbenzoic acid|2-aminophenol,N-(2-hydroxyphenyl)-3-methoxy-4-methylbenzamide
CCNC(=O)NCCC1CCc2ccc(OC)cc21,CCN=C=O.COc1ccc2c(c1)C(CCN)CC2,[CH2:23]([CH3:24])[N:25]=[C:26]=[O:27].[NH2:2][CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][c:8]2[cH:9][cH:10][c:11]([O:14][CH3:15])[cH:12][c:13]21>>[NH:2]([CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][c:8]2[cH:9][cH:10][c:11]([O:14][CH3:15])[cH:12][c:13]21)[C:26]([NH:25][CH2:23][CH3:24])=[O:27],"isocyanatoethane|2-(6-methoxy-2,3-dihydro-1H-inden-1-yl)ethanamine","1-ethyl-3-[2-(6-methoxy-2,3-dihydro-1H-inden-1-yl)ethyl]urea"
COC(=O)c1ccc(Nc2ccccc2[N+](=O)[O-])cc1,O=[N+]([O-])c1ccccc1F.COC(=O)c1ccc(N)cc1,[F:1][c:2]1[c:3]([N+:8](=[O:9])[O-:10])[cH:4][cH:5][cH:6][cH:7]1.[NH2:11][c:12]1[cH:13][cH:14][c:15]([C:16](=[O:17])[O:18][CH3:19])[cH:20][cH:21]1>>[c:2]1([NH:11][c:12]2[cH:13][cH:14][c:15]([C:16](=[O:17])[O:18][CH3:19])[cH:20][cH:21]2)[c:3]([N+:8](=[O:9])[O-:10])[cH:4][cH:5][cH:6][cH:7]1,1-fluoro-2-nitrobenzene|methyl 4-aminobenzoate,methyl 4-(2-nitroanilino)benzoate
Cc1cc(Cl)c2nn(C)c(C)c2n1,COC(OC)N(C)C.Cc1cc(Cl)c2[nH]nc(C)c2n1,[CH3:13][O:14][CH:15]([O:16][CH3:17])[N:18]([CH3:19])[CH3:20].[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]([CH3:8])[cH:7]1)[c:9]([CH3:12])[n:10][nH:11]2>>[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]([CH3:8])[cH:7]1)[c:9]([CH3:12])[n:10]([CH3:13])[n:11]2,"1,1-dimethoxy-N,N-dimethylmethanamine|7-chloro-3,5-dimethyl-2H-pyrazolo[4,3-b]pyridine","7-chloro-2,3,5-trimethylpyrazolo[4,3-b]pyridine"
O=C1c2c(Cl)cccc2CN1Cc1ccccc1,COC(=O)c1c(Cl)cccc1CBr.NCc1ccccc1,[CH3:1][O:2][C:3]([c:4]1[c:5]([CH2:11][Br:12])[cH:6][cH:7][cH:8][c:9]1[Cl:10])=[O:13].[NH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[C:3]1(=[O:13])[c:4]2[c:5]([cH:6][cH:7][cH:8][c:9]2[Cl:10])[CH2:11][N:14]1[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,methyl 2-(bromomethyl)-6-chlorobenzoate|phenylmethanamine,2-benzyl-7-chloro-3H-isoindol-1-one
COc1cc(N=C=S)ccc1-c1cnn(C)c1,O=c1ccccn1C(=S)n1ccccc1=O.COc1cc(N)ccc1-c1cnn(C)c1,[C:16](=[S:17])([n:18]1[cH:19][cH:20][cH:21][cH:22][c:23]1=[O:24])[n:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1=[O:31].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:7][cH:8][c:9]1-[c:10]1[cH:11][n:12][n:13]([CH3:15])[cH:14]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([N:6]=[C:16]=[S:17])[cH:7][cH:8][c:9]1-[c:10]1[cH:11][n:12][n:13]([CH3:15])[cH:14]1,1-(2-oxopyridine-1-carbothioyl)pyridin-2-one|3-methoxy-4-(1-methylpyrazol-4-yl)aniline,4-(4-isothiocyanato-2-methoxyphenyl)-1-methylpyrazole
Nc1cccc(-c2ccccc2)c1,Brc1ccccc1.Nc1cccc(B(O)O)c1,[Br:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[NH2:8][c:9]1[cH:10][c:11]([B:15]([OH:16])[OH:17])[cH:12][cH:13][cH:14]1>>[c:2]1(-[c:11]2[cH:10][c:9]([NH2:8])[cH:14][cH:13][cH:12]2)[cH:3][cH:4][cH:5][cH:6][cH:7]1,bromobenzene|(3-aminophenyl)boronic acid,3-phenylaniline
