reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
CCOC(C)=O.CCCCC.COC(=O)C1C(C(C)C)N1S(=O)c1ccc(C)cc1,ethyl acetate|pentane|methyl 1-(4-methylphenyl)sulfinyl-3-propan-2-ylaziridine-2-carboxylate,COC(=O)C1C(C(C)C)N1S(=O)(=O)c1ccc(C)cc1,methyl 1-(4-methylphenyl)sulfonyl-3-propan-2-ylaziridine-2-carboxylate,,,
CCOC(=O)C(C)Cc1ccccn1.C[Si](C)(C)C#N.CN(C)C(=O)Cl.CCOC(C)=O.O.O=C(OO)c1cccc(Cl)c1,"ethyl 2-methyl-3-pyridin-2-ylpropanoate|trimethylsilylformonitrile|N,N-dimethylcarbamoyl chloride|ethyl acetate|oxidane|3-chlorobenzenecarboperoxoic acid",CCOC(=O)C(C)Cc1cccc(C#N)n1,ethyl 3-(6-cyanopyridin-2-yl)-2-methylpropanoate,,,
O=C([O-])[O-].Clc1ccc(Cl)nn1.[K+].[K+].[Na+].[OH-].Oc1ccc(Cl)cc1,"carbonate|3,6-dichloropyridazine|potassium(1+)|potassium(1+)|sodium(1+)|hydroxide|4-chlorophenol",Clc1ccc(Oc2ccc(Cl)nn2)cc1,3-chloro-6-(4-chlorophenoxy)pyridazine,,,
OCc1ccc(CCBr)cc1.C1COCCN1.CC#N.[I-].[Na+],[4-(2-bromoethyl)phenyl]methanol|morpholine|acetonitrile|iodide|sodium(1+),OCc1ccc(CCN2CCOCC2)cc1,[4-(2-morpholin-4-ylethyl)phenyl]methanol,,,
COc1ccccc1S.O=Cc1ccc(F)cc1Cl,2-methoxybenzenethiol|2-chloro-4-fluorobenzaldehyde,COc1ccccc1Sc1ccc(C=O)c(Cl)c1,2-chloro-4-(2-methoxyphenyl)sulfanylbenzaldehyde,,,
CCN(C(C)C)C(C)C.CCc1cc(-c2cccc(Cl)c2)n[nH]c1=O.[Na+].[OH-].O=P(Cl)(Cl)Cl,N-ethyl-N-propan-2-ylpropan-2-amine|3-(3-chlorophenyl)-5-ethyl-1H-pyridazin-6-one|sodium(1+)|hydroxide|phosphoryl trichloride,CCc1cc(-c2cccc(Cl)c2)nnc1Cl,3-chloro-6-(3-chlorophenyl)-4-ethylpyridazine,,,
[Al+3].N#CCCCc1ccccn1.[H-].[H-].[H-].[H-].[Li+].[Na+].[OH-].O,aluminum(3+)|4-pyridin-2-ylbutanenitrile|hydride|hydride|hydride|hydride|lithium(1+)|sodium(1+)|hydroxide|oxidane,NCCCCc1ccccn1,4-pyridin-2-ylbutan-1-amine,,,
CC(C)Br.CN(C)C=O.[H-].Ic1cn[nH]c1.[Na+].O,"2-bromopropane|N,N-dimethylformamide|hydride|4-iodo-1H-pyrazole|sodium(1+)|oxidane",CC(C)n1cc(I)cn1,4-iodo-1-propan-2-ylpyrazole,,,
O=[N+]([O-])c1ccccc1Br.O=C([O-])[O-].CN(C)C=O.[K+].[K+].O.Oc1ccc2[nH]ncc2c1,"1-bromo-2-nitrobenzene|carbonate|N,N-dimethylformamide|potassium(1+)|potassium(1+)|oxidane|1H-indazol-5-ol",O=[N+]([O-])c1ccccc1Oc1ccc2[nH]ncc2c1,5-(2-nitrophenoxy)-1H-indazole,,,
CO.[Cl-].[Fe].CCOC(=O)C=C(C)c1ccc([N+](=O)[O-])cc1.[NH4+].C1CCOC1.O,methanol|chloride|iron|ethyl 3-(4-nitrophenyl)but-2-enoate|azanium|oxolane|oxidane,CCOC(=O)C=C(C)c1ccc(N)cc1,ethyl 3-(4-aminophenyl)but-2-enoate,,,
CCC(CC)(CC)C([O-])([O-])[O-].CCOC(=O)c1ccc(Cl)nc1.O=C(O)c1ccc(I)nc1,"2,2-diethylbutane-1,1,1-triolate|ethyl 6-chloropyridine-3-carboxylate|6-iodopyridine-3-carboxylic acid",CCOC(=O)c1ccc(I)nc1,ethyl 6-iodopyridine-3-carboxylate,,,
C=C(OCC)c1ccc(F)cc1.ClCCl.O=C(Cl)C(Cl)(Cl)Cl.c1ccncc1,"1-(1-ethoxyethenyl)-4-fluorobenzene|dichloromethane|2,2,2-trichloroacetyl chloride|pyridine",CCOC(=CC(=O)C(Cl)(Cl)Cl)c1ccc(F)cc1,"1,1,1-trichloro-4-ethoxy-4-(4-fluorophenyl)but-3-en-2-one",,,
COc1ccc(C=O)cc1OC1CCCC1.Cl.NO.O.c1ccncc1,3-cyclopentyloxy-4-methoxybenzaldehyde|chlorane|hydroxylamine|oxidane|pyridine,COc1ccc(C=NO)cc1OC1CCCC1,N-[(3-cyclopentyloxy-4-methoxyphenyl)methylidene]hydroxylamine,,,
CCC(=O)CC(=O)OC.NOCc1ccccc1.CC(=O)[O-].CO.Cl.[K+].O,methyl 3-oxopentanoate|O-benzylhydroxylamine|acetate|methanol|chlorane|potassium(1+)|oxidane,CCC(CC(=O)OC)=NOCc1ccccc1,methyl 3-phenylmethoxyiminopentanoate,,,
O=C1CCc2c(Cl)nc(C=Cc3ccccc3)nc2N1.[K+].[K+].O=C([O-])[O-].CN(C)C=O,"4-chloro-2-(2-phenylethenyl)-6,8-dihydro-5H-pyrido[2,3-d]pyrimidin-7-one|potassium(1+)|potassium(1+)|carbonate|N,N-dimethylformamide",Cc1nc(C=Cc2ccccc2)nc2c1CCC(=O)N2,"4-methyl-2-(2-phenylethenyl)-6,8-dihydro-5H-pyrido[2,3-d]pyrimidin-7-one",,,
COC(=O)C(C)(C)C1CCCN(C(=O)OC(C)(C)C)C1.CO.[Na+].[OH-],tert-butyl 3-(1-methoxy-2-methyl-1-oxopropan-2-yl)piperidine-1-carboxylate|methanol|sodium(1+)|hydroxide,CC(C)(C)OC(=O)N1CCCC(C(C)(C)C(=O)O)C1,2-methyl-2-[1-[(2-methylpropan-2-yl)oxycarbonyl]piperidin-3-yl]propanoic acid,,,
C1COCCO1.CO.Cl.O=C(O)Cc1cccc(O)c1,"1,4-dioxane|methanol|chlorane|2-(3-hydroxyphenyl)acetic acid",COC(=O)Cc1cccc(O)c1,methyl 2-(3-hydroxyphenyl)acetate,,,
C[O-].CO.Nc1nc2cc(Cl)ccc2nc1Cl.[Na+].C1CCOC1,"methanolate|methanol|3,7-dichloroquinoxalin-2-amine|sodium(1+)|oxolane",COc1nc2ccc(Cl)cc2nc1N,7-chloro-3-methoxyquinoxalin-2-amine,,,
CCCCOCCCCN1CCC(=O)CC1.Cl.NO,1-(4-butoxybutyl)piperidin-4-one|chlorane|hydroxylamine,CCCCOCCCCN1CCC(=NO)CC1,N-[1-(4-butoxybutyl)piperidin-4-ylidene]hydroxylamine,,,
CCOC(OCC)c1ccc(Br)cc1F.[Li]CCCC.CC(C)=O,4-bromo-1-(diethoxymethyl)-2-fluorobenzene|lithium;butane|propan-2-one,CCOC(OCC)c1ccc(C(C)(C)O)cc1F,2-[4-(diethoxymethyl)-3-fluorophenyl]propan-2-ol,,,
Cl.N#Cc1cc(C(=O)CNC2CCCC2)cc(F)c1N,chlorane|2-amino-5-[2-(cyclopentylamino)acetyl]-3-fluorobenzonitrile,N#Cc1cc(C(O)CNC2CCCC2)cc(F)c1N,2-amino-5-[2-(cyclopentylamino)-1-hydroxyethyl]-3-fluorobenzonitrile,,,
O=Cc1cc(Cl)c(Br)c(Cl)c1.COC(=O)c1cc(Cl)c(Br)c(Cl)c1,"4-bromo-3,5-dichlorobenzaldehyde|methyl 4-bromo-3,5-dichlorobenzoate",OCc1cc(Cl)c(Br)c(Cl)c1,"(4-bromo-3,5-dichlorophenyl)methanol",,,
C=CCNc1ccccc1.CCN(CC)CC.C[SiH](C)Cl.CCCCCC,"N-prop-2-enylaniline|N,N-diethylethanamine|chloro(dimethyl)silane|hexane",C=CCN(c1ccccc1)[SiH](C)C,N-dimethylsilyl-N-prop-2-enylaniline,,,
BrCc1ccccc1.O=C([O-])[O-].Cc1cc(F)c([N+](=O)[O-])cc1O.[K+].[K+].CN(C)C=O.O,"bromomethylbenzene|carbonate|4-fluoro-2-methyl-5-nitrophenol|potassium(1+)|potassium(1+)|N,N-dimethylformamide|oxidane",Cc1cc(F)c([N+](=O)[O-])cc1OCc1ccccc1,1-fluoro-5-methyl-2-nitro-4-phenylmethoxybenzene,,,
C=C(C)C.ClCCl.Cl.O=CC(Cl)(Cl)Cl,"2-methylprop-1-ene|dichloromethane|chlorane|2,2,2-trichloroacetaldehyde",C=C(C)CC(O)C(Cl)(Cl)Cl,"1,1,1-trichloro-4-methylpent-4-en-2-ol",,,
COc1ccc(Br)cc1.O=C([O-])[O-].CC(C)CCn1cc(B2OC(C)(C)C(C)(C)O2)cn1.[K+].[K+].C1CCOC1.O,"1-bromo-4-methoxybenzene|carbonate|1-(3-methylbutyl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrazole|potassium(1+)|potassium(1+)|oxolane|oxidane",COc1ccc(-c2cnn(CCC(C)C)c2)cc1,4-(4-methoxyphenyl)-1-(3-methylbutyl)pyrazole,,,
[Al+3].CCC(CC)=C(CC)CC.C[SiH](C)Cl.CCCCC.[Cl-].[Cl-].[Cl-],"aluminum(3+)|3,4-diethylhex-3-ene|chloro(dimethyl)silane|pentane|chloride|chloride|chloride",CCC(CC)C(CC)(CC)[Si](C)(C)Cl,"chloro-(3,4-diethylhexan-3-yl)-dimethylsilane",,,
CCc1cccc(C#N)c1.CC(C)C[Al+]CC(C)C.CC(=O)O.Cc1ccccc1.[H-].O,3-ethylbenzonitrile|bis(2-methylpropyl)alumanylium|acetic acid|toluene|hydride|oxidane,CCc1cccc(C=O)c1,3-ethylbenzaldehyde,,,
Cc1ccccc1.C=CC1CCC(O)(c2ccc(OCC)c(Cl)c2F)CC1.O.Cc1ccc(S(=O)(=O)O)cc1,toluene|1-(3-chloro-4-ethoxy-2-fluorophenyl)-4-ethenylcyclohexan-1-ol|oxidane|4-methylbenzenesulfonic acid,C=CC1CC=C(c2ccc(OCC)c(Cl)c2F)CC1,3-chloro-1-(4-ethenylcyclohexen-1-yl)-4-ethoxy-2-fluorobenzene,,,
O=C1CCC(=O)N1Br.c1ccccc1.CC(C)(C)OC(=O)N1CCn2ccnc2C1,"1-bromopyrrolidine-2,5-dione|benzene|tert-butyl 6,8-dihydro-5H-imidazo[1,2-a]pyrazine-7-carboxylate",CC(C)(C)OC(=O)N1CCn2c(Br)cnc2C1,"tert-butyl 3-bromo-6,8-dihydro-5H-imidazo[1,2-a]pyrazine-7-carboxylate",,,
O=C(Cl)c1ccccc1.CC(C)C(N)C(=O)O.[Na+].C1COCCO1.[OH-].O=S(=O)(O)O,"benzoyl chloride|2-amino-3-methylbutanoic acid|sodium(1+)|1,4-dioxane|hydroxide|sulfuric acid",CC(C)C(NC(=O)c1ccccc1)C(=O)O,2-benzamido-3-methylbutanoic acid,,,
O=C([O-])[O-].O=C(O)C=Cc1ccc(Cl)c(Cl)c1.[Cs+].[Cs+].CN(C)C=O,"carbonate|3-(3,4-dichlorophenyl)prop-2-enoic acid|cesium(1+)|cesium(1+)|N,N-dimethylformamide",COC(=O)C=Cc1ccc(Cl)c(Cl)c1,"methyl 3-(3,4-dichlorophenyl)prop-2-enoate",,,
CCOC(=O)c1cnc2cc(C(F)(F)F)ccc2c1O.O=P(Cl)(Cl)Cl,ethyl 4-oxo-7-(trifluoromethyl)-1H-quinoline-3-carboxylate|phosphoryl trichloride,CCOC(=O)c1cnc2cc(C(F)(F)F)ccc2c1Cl,ethyl 4-chloro-7-(trifluoromethyl)quinoline-3-carboxylate,,,
C=CC#N.CCNCC.Cl.Nc1cccc(C(F)(F)F)c1.[Na+].[OH-],prop-2-enenitrile|N-ethylethanamine|chlorane|3-(trifluoromethyl)aniline|sodium(1+)|hydroxide,N#CCCNc1cccc(C(F)(F)F)c1,3-[3-(trifluoromethyl)anilino]propanenitrile,,,
C=C1CC(CNC(=O)OC(C)(C)C)C1.CO.ClCCl,tert-butyl N-[(3-methylidenecyclobutyl)methyl]carbamate|methanol|dichloromethane,CC(C)(C)OC(=O)NCC1CC(=O)C1,tert-butyl N-[(3-oxocyclobutyl)methyl]carbamate,,,
O=S(=O)(Cl)c1ccc(Br)cc1.CCN(CC)CC.OCCOC1CCCCC1.ClCCl,"4-bromobenzenesulfonyl chloride|N,N-diethylethanamine|2-cyclohexyloxyethanol|dichloromethane",O=S(=O)(OCCOC1CCCCC1)c1ccc(Br)cc1,2-cyclohexyloxyethyl 4-bromobenzenesulfonate,,,
CS(C)=O.CCN(CC)CC.ClCCl.O=C(Cl)C(=O)Cl.OC1CCCNC1c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,"methylsulfinylmethane|N,N-diethylethanamine|dichloromethane|oxalyl dichloride|2-phenylpiperidin-3-ol|2-hydroxypropane-1,2,3-tricarboxylic acid",O=C1CCCNC1c1ccccc1,2-phenylpiperidin-3-one,,,
CC(C)OC(C)C.Nc1cccc(Cl)c1N.S=C=Nc1cscc1Cl,"2-propan-2-yloxypropane|3-chlorobenzene-1,2-diamine|3-chloro-4-isothiocyanatothiophene",Nc1c(Cl)cccc1NC(=S)Nc1cscc1Cl,1-(2-amino-3-chlorophenyl)-3-(4-chlorothiophen-3-yl)thiourea,,,
CC(=O)O.CO.COC(=O)C1CSCC1=O.N#C[K].O,acetic acid|methanol|methyl 4-oxothiolane-3-carboxylate|potassium;cyanide|oxidane,COC(=O)C1CSCC1C#N,methyl 4-cyanothiolane-3-carboxylate,,,
Clc1ccc2c(c1Cl)NCC2.O=C=Nc1cccnc1,"6,7-dichloro-2,3-dihydro-1H-indole|3-isocyanatopyridine",O=C(Nc1cccnc1)N1CCc2ccc(Cl)c(Cl)c21,"6,7-dichloro-N-pyridin-3-yl-2,3-dihydroindole-1-carboxamide",,,
COc1ccccc1C(O)CCl.[K+].C1COCCO1.[OH-].O,"2-chloro-1-(2-methoxyphenyl)ethanol|potassium(1+)|1,4-dioxane|hydroxide|oxidane",COc1ccccc1C1CO1,2-(2-methoxyphenyl)oxirane,,,
O=C1Nc2ccc(Br)cc2C1=O.OCCCO.O.Cc1ccc(S(=O)(=O)O)cc1.c1ccccc1,"5-bromo-1H-indole-2,3-dione|propane-1,3-diol|oxidane|4-methylbenzenesulfonic acid|benzene",O=C1Nc2ccc(Br)cc2C12OCCCO2,"5'-bromospiro[1,3-dioxane-2,3'-1H-indole]-2'-one",,,
CCOC(=O)c1cc(Br)c(CC)[nH]1.CCSc1nnc(N)s1.CC#N.CC(C)(C)ON=O.O,"ethyl 4-bromo-5-ethyl-1H-pyrrole-2-carboxylate|5-ethylsulfanyl-1,3,4-thiadiazol-2-amine|acetonitrile|tert-butyl nitrite|oxidane",CCSc1nnc(Br)s1,"2-bromo-5-ethylsulfanyl-1,3,4-thiadiazole",,,
CCOC(OCC)c1ccc(CN(C)C)cc1.CO.CO.Cl,"1-[4-(diethoxymethyl)phenyl]-N,N-dimethylmethanamine|methanol|methanol|chlorane",CN(C)Cc1ccc(C=O)cc1,4-[(dimethylamino)methyl]benzaldehyde,,,
Clc1nccc2occ(Br)c12.CCOC(C)=O.N.C1COCCO1,"3-bromo-4-chlorofuro[3,2-c]pyridine|ethyl acetate|azane|1,4-dioxane",Nc1nccc2occ(Br)c12,"3-bromofuro[3,2-c]pyridin-4-amine",,,
CN(C)S(=O)(=O)n1ccnc1-c1cc(Cl)nc(Cl)n1.Cl.[Na+].O=C([O-])O,"2-(2,6-dichloropyrimidin-4-yl)-N,N-dimethylimidazole-1-sulfonamide|chlorane|sodium(1+)|hydrogen carbonate",Clc1cc(-c2ncc[nH]2)nc(Cl)n1,"2,4-dichloro-6-(1H-imidazol-2-yl)pyrimidine",,,
O=C1CCCc2c1ccc1ccccc21.Cl.NO.c1ccncc1,"3,4-dihydro-2H-phenanthren-1-one|chlorane|hydroxylamine|pyridine",ON=C1CCCc2c1ccc1ccccc21,"N-(3,4-dihydro-2H-phenanthren-1-ylidene)hydroxylamine",,,
CCOC(=O)c1ccc(-c2ccc(OC)cc2)cc1.CO.[Na+].[OH-],ethyl 4-(4-methoxyphenyl)benzoate|methanol|sodium(1+)|hydroxide,COc1ccc(-c2ccc(C(=O)O)cc2)cc1,4-(4-methoxyphenyl)benzoic acid,,,
[Al+3].COC(=O)c1cc(Br)cc2c1OC(C)(C)C2.[H-].[H-].[H-].[H-].[Li+].C1CCOC1,"aluminum(3+)|methyl 5-bromo-2,2-dimethyl-3H-1-benzofuran-7-carboxylate|hydride|hydride|hydride|hydride|lithium(1+)|oxolane",CC1(C)Cc2cc(Br)cc(CO)c2O1,"(5-bromo-2,2-dimethyl-3H-1-benzofuran-7-yl)methanol",,,
CS(=O)(=O)c1cc(N2CCNCC2)ccc1Cl.CCCI,1-(4-chloro-3-methylsulfonylphenyl)piperazine|1-iodopropane,CCCN1CCN(c2ccc(Cl)c(S(C)(=O)=O)c2)CC1,1-(4-chloro-3-methylsulfonylphenyl)-4-propylpiperazine,,,
[Br-].COC(=O)CC(C)=O.CC(=O)[O-].COc1ccccc1SCCC=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1.Cl.[Na+].[Na+].[OH-].O,bromide|methyl 3-oxobutanoate|acetate|3-(2-methoxyphenyl)sulfanylpropanal|tetrabutylazanium|toluene|chlorane|sodium(1+)|sodium(1+)|hydroxide|oxidane,COc1ccccc1SCCC(O)CC(C)=O,4-hydroxy-6-(2-methoxyphenyl)sulfanylhexan-2-one,,,
CC(C)CCCO.CS(=O)(=O)Cl,4-methylpentan-1-ol|methanesulfonyl chloride,CC(C)CCCOS(C)(=O)=O,4-methylpentyl methanesulfonate,,,
C1COCCN1.C1CCOC1.O=[N+]([O-])c1ccc(CBr)cc1.O,morpholine|oxolane|1-(bromomethyl)-4-nitrobenzene|oxidane,O=[N+]([O-])c1ccc(CN2CCOCC2)cc1,4-[(4-nitrophenyl)methyl]morpholine,,,
CS(C)=O.ClCCl.OCc1cc2cn[nH]c2cn1,"methylsulfinylmethane|dichloromethane|1H-pyrazolo[3,4-c]pyridin-5-ylmethanol",O=Cc1cc2cn[nH]c2cn1,"1H-pyrazolo[3,4-c]pyridine-5-carbaldehyde",,,
O=S(=O)(O)Cl.ClCc1ccccc1,sulfurochloridic acid|chloromethylbenzene,O=S(=O)(Cl)c1ccc(CCl)cc1,4-(chloromethyl)benzenesulfonyl chloride,,,
CC(C)CCBr.C[Si](C)(C)[N-][Si](C)(C)C.[Li+].C1CCOC1.CC(C(=O)O)c1ccccc1,1-bromo-3-methylbutane|bis(trimethylsilyl)azanide|lithium(1+)|oxolane|2-phenylpropanoic acid,CC(C)CCC(C)(C(=O)O)c1ccccc1,"2,5-dimethyl-2-phenylhexanoic acid",,,
O=C([O-])[O-].C#CCBr.CCOC(=O)C1COCCN1.CN(C)C=O.Cl.[K+].[K+],"carbonate|3-bromoprop-1-yne|ethyl morpholine-3-carboxylate|N,N-dimethylformamide|chlorane|potassium(1+)|potassium(1+)",C#CCN1CCOCC1C(=O)OCC,ethyl 4-prop-2-ynylmorpholine-3-carboxylate,,,
CCOC(=O)C1CCC2(CCOCC2)N1C(C)=O.C1CCOC1.CO.Cl.[Li+].[OH-].O.O,ethyl 1-acetyl-8-oxa-1-azaspiro[4.5]decane-2-carboxylate|oxolane|methanol|chlorane|lithium(1+)|hydroxide|oxidane|oxidane,CC(=O)N1C(C(=O)O)CCC12CCOCC2,1-acetyl-8-oxa-1-azaspiro[4.5]decane-2-carboxylic acid,,,
Clc1ccc(-c2nsnc2Cl)c(CBr)c1.[N-]=[N+]=[N-].[Na+].CN(C)C=O,"3-[2-(bromomethyl)-4-chlorophenyl]-4-chloro-1,2,5-thiadiazole|azide|sodium(1+)|N,N-dimethylformamide",[N-]=[N+]=NCc1cc(Cl)ccc1-c1nsnc1Cl,"3-[2-(azidomethyl)-4-chlorophenyl]-4-chloro-1,2,5-thiadiazole",,,
CO.Cl.O=C(O)C(O)Cc1ccccc1,methanol|chlorane|2-hydroxy-3-phenylpropanoic acid,COC(=O)C(O)Cc1ccccc1,methyl 2-hydroxy-3-phenylpropanoate,,,
O=C1CCC(=O)N1Br.Cc1cc(C)cc(O)c1.S=C=S,"1-bromopyrrolidine-2,5-dione|3,5-dimethylphenol|S=C=S",Cc1cc(C)c(Br)c(O)c1,"2-bromo-3,5-dimethylphenol",,,
CC(C)(C)[Si](C)(C)Cl.CCN(CC)CC.CCCCCCC.COc1ccc(F)c(O)c1.[Na+].C1CCOC1.[OH-],"tert-butyl-chloro-dimethylsilane|N,N-diethylethanamine|heptane|2-fluoro-5-methoxyphenol|sodium(1+)|oxolane|hydroxide",COc1ccc(F)c(O[Si](C)(C)C(C)(C)C)c1,tert-butyl-(2-fluoro-5-methoxyphenoxy)-dimethylsilane,,,
CC1(C)CC(=O)c2ccc(OS(=O)(=O)C(F)(F)F)cc21.OB(O)c1ccc(Cl)c(Cl)c1,"(3,3-dimethyl-1-oxo-2H-inden-5-yl) trifluoromethanesulfonate|(3,4-dichlorophenyl)boronic acid",CC1(C)CC(=O)c2ccc(-c3ccc(Cl)c(Cl)c3)cc21,"5-(3,4-dichlorophenyl)-3,3-dimethyl-2H-inden-1-one",,,
ClCCl.Cc1ccc(C#N)nc1CO.O=S(Cl)Cl,dichloromethane|6-(hydroxymethyl)-5-methylpyridine-2-carbonitrile|thionyl dichloride,Cc1ccc(C#N)nc1CCl,6-(chloromethyl)-5-methylpyridine-2-carbonitrile,,,
CC(C)(C)c1ccc2oc(=O)[nH]c2c1.O=C([O-])[O-].ClCCCI.[Cs+].[Cs+],"5-tert-butyl-3H-1,3-benzoxazol-2-one|carbonate|1-chloro-3-iodopropane|cesium(1+)|cesium(1+)",CC(C)(C)c1ccc2oc(=O)n(CCCCl)c2c1,"5-tert-butyl-3-(3-chloropropyl)-1,3-benzoxazol-2-one",,,
CC(C)Oc1c(C(=O)O)[nH]c(Br)c1Br.O=C(n1ccnc1)n1ccnc1.Nc1nnn[nH]1,"4,5-dibromo-3-propan-2-yloxy-1H-pyrrole-2-carboxylic acid|di(imidazol-1-yl)methanone|2H-tetrazol-5-amine",CC(C)Oc1c(C(=O)Nc2nnn[nH]2)[nH]c(Br)c1Br,"4,5-dibromo-3-propan-2-yloxy-N-(2H-tetrazol-5-yl)-1H-pyrrole-2-carboxamide",,,
O=C([O-])[O-].CS(C)=O.[K+].[K+].O.COC(=O)c1cnc(I)c(OCCc2ncc[nH]2)c1,carbonate|methylsulfinylmethane|potassium(1+)|potassium(1+)|oxidane|methyl 5-[2-(1H-imidazol-2-yl)ethoxy]-6-iodopyridine-3-carboxylate,COC(=O)c1cnc2c(c1)OCCc1nccn1-2,"methyl 9-oxa-2,5,14-triazatricyclo[8.4.0.02,6]tetradeca-1(10),3,5,11,13-pentaene-12-carboxylate",,,
ClCCl.Clc1cc(-n2cccn2)ncn1.[NH4+].[OH-],dichloromethane|4-chloro-6-pyrazol-1-ylpyrimidine|azanium|hydroxide,Nc1cc(-n2cccn2)ncn1,6-pyrazol-1-ylpyrimidin-4-amine,,,
C1CCC2=NCCCN2CC1.CS(=O)(=O)OC1CC=C(c2ccncc2[N+](=O)[O-])CC1.CCOC(C)=O.C1CCOC1,"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine|[4-(3-nitropyridin-4-yl)cyclohex-3-en-1-yl] methanesulfonate|ethyl acetate|oxolane",O=[N+]([O-])c1cnccc1C1=CC=CCC1,"4-cyclohexa-1,3-dien-1-yl-3-nitropyridine",,,
CCO.Cl.[K+].[OH-].O.COC(=O)C1CCC(C2CCC(CCCO)CC2)CC1,ethanol|chlorane|potassium(1+)|hydroxide|oxidane|methyl 4-[4-(3-hydroxypropyl)cyclohexyl]cyclohexane-1-carboxylate,O=C(O)C1CCC(C2CCC(CCCO)CC2)CC1,4-[4-(3-hydroxypropyl)cyclohexyl]cyclohexane-1-carboxylic acid,,,
ClCCl.OCCCOCCCCc1ccccc1,dichloromethane|3-(4-phenylbutoxy)propan-1-ol,O=CCCOCCCCc1ccccc1,3-(4-phenylbutoxy)propanal,,,
Br.COC(=O)N1CCC(c2cc(=O)[nH]o2)CC1C(F)F,"bromane|methyl 2-(difluoromethyl)-4-(3-oxo-1,2-oxazol-5-yl)piperidine-1-carboxylate",O=c1cc(C2CCNC(C(F)F)C2)o[nH]1,"5-[2-(difluoromethyl)piperidin-4-yl]-1,2-oxazol-3-one",,,
NCCc1ccccc1.ClCCl.Nc1ccnc(Cl)c1C(=O)O.CN(C)C=O.F[P-](F)(F)(F)(F)F.CN(C)C(On1nnc2ccccc21)=[N+](C)C,"2-phenylethanamine|dichloromethane|4-amino-2-chloropyridine-3-carboxylic acid|N,N-dimethylformamide|hexafluorophosphate|[benzotriazol-1-yloxy(dimethylamino)methylidene]-dimethylazanium",Nc1ccnc(Cl)c1C(=O)NCCc1ccccc1,4-amino-2-chloro-N-(2-phenylethyl)pyridine-3-carboxamide,,,
ClC(Cl)Cl.O=S(Cl)Cl.CC(O)c1ccnc2ccccc12,chloroform|thionyl dichloride|1-quinolin-4-ylethanol,CC(Cl)c1ccnc2ccccc12,4-(1-chloroethyl)quinoline,,,
CC1CCCN1.CN1CCCC1=O.Cc1nc(C#Cc2ccc(Cl)nc2)cs1,"2-methylpyrrolidine|1-methylpyrrolidin-2-one|4-[2-(6-chloropyridin-3-yl)ethynyl]-2-methyl-1,3-thiazole",Cc1nc(C#Cc2ccc(N3CCCC3C)nc2)cs1,"2-methyl-4-[2-[6-(2-methylpyrrolidin-1-yl)pyridin-3-yl]ethynyl]-1,3-thiazole",,,
ClCCl.O=C(OO)c1cccc(Cl)c1.O=C(OCC(Cl)(Cl)Cl)N1CC=CCC1,"dichloromethane|3-chlorobenzenecarboperoxoic acid|2,2,2-trichloroethyl 3,6-dihydro-2H-pyridine-1-carboxylate",O=C(OCC(Cl)(Cl)Cl)N1CCC2OC2C1,"2,2,2-trichloroethyl 7-oxa-3-azabicyclo[4.1.0]heptane-3-carboxylate",,,
COC(=O)C=Cc1ccc(Br)cc1.C1CCOC1.[Li]C.[Cu]I,methyl 3-(4-bromophenyl)prop-2-enoate|oxolane|lithium;carbanide|iodocopper,COC(=O)CC(C)c1ccc(Br)cc1,methyl 3-(4-bromophenyl)butanoate,,,
C1CCOC1.CCN(CC)CC.Cc1ccccc1.CCOC(=O)c1ccc(NC(C)CO)c(Cl)c1.O=C(Cl)Cl.O,"oxolane|N,N-diethylethanamine|toluene|ethyl 3-chloro-4-(1-hydroxypropan-2-ylamino)benzoate|carbonyl dichloride|oxidane",CCOC(=O)c1ccc(N2C(=O)OCC2C)c(Cl)c1,"ethyl 3-chloro-4-(4-methyl-2-oxo-1,3-oxazolidin-3-yl)benzoate",,,
c1ccc2c(c1)OCO2.CN(C)C=O.O.O=S(=O)(Cl)Cl,"1,3-benzodioxole|N,N-dimethylformamide|oxidane|sulfuryl dichloride",O=S(=O)(Cl)c1ccc2c(c1)OCO2,"1,3-benzodioxole-5-sulfonyl chloride",,,
C=C(Br)CBr.CCN(CC)CC.COc1ccc(CN)c(OC)c1.ClCCl.Cl.O,"2,3-dibromoprop-1-ene|N,N-diethylethanamine|(2,4-dimethoxyphenyl)methanamine|dichloromethane|chlorane|oxidane",C=C(Br)CNCc1ccc(OC)cc1OC,"2-bromo-N-[(2,4-dimethoxyphenyl)methyl]prop-2-en-1-amine",,,
C1CCOC1.COC(=O)C=CC=CCS(=O)c1ccc(Cl)cc1.CO.[K+].NO.[OH-],"oxolane|methyl 6-(4-chlorophenyl)sulfinylhexa-2,4-dienoate|methanol|potassium(1+)|hydroxylamine|hydroxide",O=C(C=CC=CCS(=O)c1ccc(Cl)cc1)NO,"6-(4-chlorophenyl)sulfinyl-N-hydroxyhexa-2,4-dienamide",,,
